UDID,App Name,Seller
00008030-000419843AE1802E,СберСпасибо (5.2.4),Сбербанк России
,DSLR Camera (10.1.2),Fulvio Scichilone
,AliExpress (8.20.315),"Alibaba.com (RU), LLC"
,Вкусно — и точка (9.2.0),Moskva Makdonalds ZAO
,"Привет, Мир! (2.0.0)",NSPK
,Hydra (2.2),Creaceed SRL
,Mathway (5.1.3),"Mathway, LLC"
,Инвестиции (6.0.0),Tinkoff Bank
,Самокат (3.72.0),RSA Ltd
,Дром ПДД (3.11),Amayama Auto LLC
,GitHub (1.93.0),GitHub
,Subway Surf (3.5.0),Sybo Games ApS
,Золотое Яблоко (4.1.0),Парфюмерный супермаркет «Золотое Яблоко»
,CapCut (6.8.0),Bytedance Pte. Ltd
,S7 Airlines: поиск авиабилетов (13),S7 Airlines
,Whoosh (1.9.12),Whoosh Ltd.
,YouTube (17.49.6),Google LLC
,Яндекс Go (650.69.0),Intertech Services AG
,Photomath (8.17.0),"Photomath, Inc."
,InShot (1.63.3),SHANTANU PTE. LTD.
,СберБанк (12.15.0),Сбербанк России
,Культура (1.0.38),Минкомсвязь РФ
,Дром (5.18.1),Amayama Auto LLC
,Neuronation (3.6.96),Synaptikon GmbH
,Unzip (4.9),Shuyong Jia
,"Додо Пицца: доставка, ресторан (8391)","Dodo Franchaizing, OOO"
,Facebook (396.0),"Meta Platforms, Inc."
,Gmail (6.0.221127),Google LLC
,Зигзаг (13.1),ZIGZAG MOBILE
,iSH (1.2.3),Theodore Dubois
,H&M - мы любим моду (115),H&M
,Дурак (1.9.14),R-Soft
,24U-удобная покупка в вендинге (280),Michael Grinman
,Uber Russia (650.59.2),"KRONOS, OOO"
,Steam (3.2.5),Valve
,Ultralight (5.0.1),Uova Oy
,Eye Measure (1.22),Bonlook Inc
,Battle Buddy (1.2.0),Veritas
,MinimaList (2.12.1),"Davetech Co., Ltd."
,AmazFaces (3.9),Stanislav Topanov
,Skype (8.92.204),Skype Communications S.a.r.l
